evening, der Abend
to rinse, spülen
dishwasher, die Spülmaschine
city, die Stadt
to look for, suchen
carpet, der Teppich
terrace, die Terrasse
toilet, die Toilette
great, toll
dream flat, die Traumwohnung
definitely, unbedingt
uncomfortable, ungemütlich
to wash, waschen
washing machine, die Waschmaschine
toilet, das WC
to move away, wegziehen
further, weiter
to become, werden
important, wichtig
to live, wohnen
flat advertisement, die Wohnungsanzeige
search for housing, die Wohnungssuche
living room, das Wohnzimmer
very beautiful, wunderschön
to wish, wünschen
to count, zahlen
newspaper, die Zeitung
centre, das Zentrum
room, das Zimmer
on foot, zu Fuß
